record_id,company_name,domain,industry,employee_count,country,contact_email,source_captured_at
R1174,BASALT CONSTRUCTION INTERNATIONAL CO,basaltconstruction.com,Insurance,11-50,DE,,2025-08-08
R1256,"IRONWOOD,AGRITECH HOLDINGS INC.",www.ironwoodagritechho.com,Energy,1200,Australia,info@ironwood.com,11/01/2025
R1014,"northwind,logistics global inc",northwindlogistics.com,Gaming,10 to 210,India,,2025-08-23
R1316,Nimbus Cloud Global Co,nimbuscloudglobal.com,,11-50,U.S.A.,contact@nimbus,19/06/2025
R1315,"NIMBUS,CLOUD PARTNERS INCORPORATED",NIMBUSCLOUDPARTNER.COM,Media,1-10,Canada,info@nimbus.com,28/05/2025
R1138,  Foxglove Energy Group Co ,foxgloveenergygrou.com,Logistics,500-590,DE,,
R1015,Brightpath Analytics Corp,brightpathanalytic.com,Education,130,UK,info@brightpath.com,5/2/2025
R1387,Thicket Gaming Holdings,,Gaming,1000+,us,info@thicket.com,2025/12/10
R1066,orbit manufacturing international,ORBITMANUFACTURING.COM,Education,1000+,India,info@orbit.com,2025-06-23
R1460,ZEPHYR DRONES INTERNATIONAL,ZEPHYRDRONESINTERN.COM,Retail,201-500,Canada,info@zephyr.com,2025-06-17
R1229,Granite Insurance Partners Corp,graniteinsurancepa.com,Pharmaceuticals,130,Australia,info@granite.com,6 Sep 2025
R1427,Willow Childcare International LLC,willowchildcareint.com,Media,200-290,DE, INFO@willow.com ,03/11/2025
R1390,"Thicket,Gaming International Corp",www.thicketgaminginter.com,Telecom,,,info@thicket.com,10 Jul 2025
R1433,Xenon Labs Co,xenonlabs.com,Healthcare,,United States,,
R1183,"COBALT,TELECOM GROUP INC",www.cobalttelecomgroup.com,,18,,info@cobalt.com,2025/06/12
R1012,Northwind Logistics Partners Inc.,northwindlogistics.com,,~42,Australia,info@northwind.com,16/01/2025
R1291,Larkspur Toys Group LLC,LARKSPURTOYSGROUP.COM,Software,260+,DE,info@larkspur.com,10 Feb 2025
R1164,  acorn education partners corp ,www.acorneducationpart.com,Education,,India,info@acorn.com,9/17/2025
R1134,FOXGLOVE ENERGY INCORPORATED,,Software,18+,UK,info@foxglove.com,12/25/2025
R1140,Foxglove Energy International,FOXGLOVEENERGYINTE.COM,Healthcare,,DE,info@foxglove.com,18 May 2025
